date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-04-15,BKK,departure,00:05,ARN Stockholm,TG960,TG,12h 20m,00:05 | Thai Airways | ARN Stockholm | TG960 | 12h 20m | DETAILS,2026-01-30T15:29:26.389903
2026-04-15,BKK,departure,00:05,BRU Brussels,TG934,TG,12h 10m,00:05 | Thai Airways | BRU Brussels | TG934 | 12h 10m | DETAILS,2026-01-30T15:29:26.451028
2026-04-15,BKK,departure,00:05,CDG Paris,TG930,TG,12h 5m,00:05 | Thai Airways | CDG Paris | TG930 | 12h 5m | DETAILS,2026-01-30T15:29:26.527901
2026-04-15,BKK,departure,00:05,NGO Nagoya,TG644,TG,5h 55m,00:05 | Thai Airways | NGO Nagoya | TG644 | 5h 55m | DETAILS,2026-01-30T15:29:26.592106
2026-04-15,BKK,departure,00:05,ICN Seoul,TW102,TW,5h 35m,00:05 | T´Way Air | ICN Seoul | TW102 | 5h 35m | DETAILS,2026-01-30T15:29:26.650781
2026-04-15,BKK,departure,00:05,OSL Oslo,TG954,TG,12h 20m,00:05 | Thai Airways | OSL Oslo | TG954 | 12h 20m | DETAILS,2026-01-30T15:29:26.718595
2026-04-15,BKK,departure,00:25,KIX Osaka,JL728,JL,5h 25m,00:25 | JAL | KIX Osaka | JL728 | 5h 25m | DETAILS,2026-01-30T15:29:26.781338
2026-04-15,BKK,departure,00:30,CKG Chongqing,OQ2362,OQ,3h 30m,00:30 | Chongqing Airlines | CKG Chongqing | OQ2362 | 3h 30m | DETAILS,2026-01-30T15:29:26.845563
2026-04-15,BKK,departure,00:30,LHR London,TG910,TG,12h 45m,00:30 | Thai Airways | LHR London | TG910 | 12h 45m | DETAILS,2026-01-30T15:29:26.906815
2026-04-15,BKK,departure,00:30,PVG Shanghai,TG662,TG,4h 15m,00:30 | Thai Airways | PVG Shanghai | TG662 | 4h 15m | DETAILS,2026-01-30T15:29:27.061740
2026-04-15,BKK,departure,00:30,FUK Fukuoka,VZ810,VZ,5h 25m,00:30 | Vietjet Thailand | FUK Fukuoka | VZ810 | 5h 25m | DETAILS,2026-01-30T15:29:27.152571
2026-04-15,BKK,departure,00:40,PEK Beijing,HU7996,HU,5h 0m,00:40 | Hainan Airlines | PEK Beijing | HU7996 | 5h 0m | DETAILS,2026-01-30T15:29:27.246892
2026-04-15,BKK,departure,00:40,FUK Fukuoka,TG648,TG,5h 20m,00:40 | Thai Airways | FUK Fukuoka | TG648 | 5h 20m | DETAILS,2026-01-30T15:29:27.353917
2026-04-15,BKK,departure,00:40,MXP Milan,TG940,TG,11h 55m,00:40 | Thai Airways | MXP Milan | TG940 | 11h 55m | DETAILS,2026-01-30T15:29:27.461334
2026-04-15,BKK,departure,00:50,CPH Copenhagen,TG950,TG,11h 50m,00:50 | Thai Airways | CPH Copenhagen | TG950 | 11h 50m | DETAILS,2026-01-30T15:29:27.551995
2026-04-15,BKK,departure,00:50,MUC Munich,TG924,TG,11h 15m,00:50 | Thai Airways | MUC Munich | TG924 | 11h 15m | DETAILS,2026-01-30T15:29:27.664661
