date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-01-31,BKK,departure,01:55,PVG Shanghai,FM850,,4h 15m,01:55 | Shanghai Airlines | PVG Shanghai | FM850 | 4h 15m | DETAILS,2026-01-28T09:49:42.497955
2026-01-31,BKK,departure,01:55,HKG Hong Kong,HX780,,3h 0m,01:55 | Hong Kong Airlines | HKG Hong Kong | HX780 | 3h 0m | DETAILS,2026-01-28T09:49:42.579408
2026-01-31,BKK,departure,01:55,ADD Addis Ababa,ET609,,8h 30m,01:55 | Ethiopian | ADD Addis Ababa | ET609 | 8h 30m | DETAILS,2026-01-28T09:49:42.652950
2026-01-31,BKK,departure,02:00,DXB Dubai,EK377,,6h 55m,02:00 | Emirates | DXB Dubai | EK377 | 6h 55m | DETAILS,2026-01-28T09:49:42.742295
2026-01-31,BKK,departure,02:00,DOH Doha,QR837,,7h 25m,02:00 | Qatar Airways | DOH Doha | QR837 | 7h 25m | DETAILS,2026-01-28T09:49:42.848975
2026-01-31,BKK,departure,02:05,ICN Seoul,KE656,,5h 35m,02:05 | Korean Air | ICN Seoul | KE656 | 5h 35m | DETAILS,2026-01-28T09:49:42.925338
2026-01-31,BKK,departure,02:10,CAN Guangzhou,CZ3036,,2h 55m,02:10 | China Southern | CAN Guangzhou | CZ3036 | 2h 55m | DETAILS,2026-01-28T09:49:42.982484
2026-01-31,BKK,departure,02:15,TPE Taipei,BR206,,3h 35m,02:15 | EVA Air | TPE Taipei | BR206 | 3h 35m | DETAILS,2026-01-28T09:49:43.044235
2026-01-31,BKK,departure,02:20,NKG Nanjing,MU2804,,3h 50m,02:20 | China Eastern | NKG Nanjing | MU2804 | 3h 50m | DETAILS,2026-01-28T09:49:43.108338
2026-01-31,BKK,departure,02:25,ICN Seoul,VZ850,,5h 30m,02:25 | Vietjet Thailand | ICN Seoul | VZ850 | 5h 30m | DETAILS,2026-01-28T09:49:43.169930
2026-01-31,BKK,departure,02:30,PVG Shanghai,CA806,,4h 10m,02:30 | Air China | PVG Shanghai | CA806 | 4h 10m | DETAILS,2026-01-28T09:49:43.233176
2026-01-31,BKK,departure,02:30,TAE Daegu,TW106,,5h 10m,02:30 | T´Way Air | TAE Daegu | TW106 | 5h 10m | DETAILS,2026-01-28T09:49:43.299431
