date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-04-17,BKK,departure,00:05,ARN Stockholm,TG960,TG,12h 20m,00:05 | Thai Airways | ARN Stockholm | TG960 | 12h 20m | DETAILS,2026-01-30T15:34:39.023845
2026-04-17,BKK,departure,00:05,BRU Brussels,TG934,TG,12h 10m,00:05 | Thai Airways | BRU Brussels | TG934 | 12h 10m | DETAILS,2026-01-30T15:34:39.133352
2026-04-17,BKK,departure,00:05,CDG Paris,TG930,TG,12h 5m,00:05 | Thai Airways | CDG Paris | TG930 | 12h 5m | DETAILS,2026-01-30T15:34:39.242177
2026-04-17,BKK,departure,00:05,NGO Nagoya,TG644,TG,5h 55m,00:05 | Thai Airways | NGO Nagoya | TG644 | 5h 55m | DETAILS,2026-01-30T15:34:39.355578
2026-04-17,BKK,departure,00:05,ICN Seoul,TW102,TW,5h 35m,00:05 | T´Way Air | ICN Seoul | TW102 | 5h 35m | DETAILS,2026-01-30T15:34:39.457057
2026-04-17,BKK,departure,00:05,OSL Oslo,TG954,TG,12h 20m,00:05 | Thai Airways | OSL Oslo | TG954 | 12h 20m | DETAILS,2026-01-30T15:34:39.553308
2026-04-17,BKK,departure,00:10,AMM Amman,RJ183,RJ,9h 20m,00:10 | Royal Jordanian | AMM Amman | RJ183 | 9h 20m | DETAILS,2026-01-30T15:34:39.647227
2026-04-17,BKK,departure,00:25,KIX Osaka,JL728,JL,5h 25m,00:25 | JAL | KIX Osaka | JL728 | 5h 25m | DETAILS,2026-01-30T15:34:39.742715
2026-04-17,BKK,departure,00:30,CKG Chongqing,OQ2362,OQ,3h 30m,00:30 | Chongqing Airlines | CKG Chongqing | OQ2362 | 3h 30m | DETAILS,2026-01-30T15:34:39.852934
2026-04-17,BKK,departure,00:30,LHR London,TG910,TG,12h 45m,00:30 | Thai Airways | LHR London | TG910 | 12h 45m | DETAILS,2026-01-30T15:34:39.956632
2026-04-17,BKK,departure,00:30,PVG Shanghai,TG662,TG,4h 15m,00:30 | Thai Airways | PVG Shanghai | TG662 | 4h 15m | DETAILS,2026-01-30T15:34:40.054124
2026-04-17,BKK,departure,00:30,FUK Fukuoka,VZ810,VZ,5h 25m,00:30 | Vietjet Thailand | FUK Fukuoka | VZ810 | 5h 25m | DETAILS,2026-01-30T15:34:40.154048
2026-04-17,BKK,departure,00:40,PEK Beijing,HU7996,HU,5h 0m,00:40 | Hainan Airlines | PEK Beijing | HU7996 | 5h 0m | DETAILS,2026-01-30T15:34:40.252363
2026-04-17,BKK,departure,00:40,FUK Fukuoka,TG648,TG,5h 20m,00:40 | Thai Airways | FUK Fukuoka | TG648 | 5h 20m | DETAILS,2026-01-30T15:34:40.365323
2026-04-17,BKK,departure,00:40,MXP Milan,TG940,TG,11h 55m,00:40 | Thai Airways | MXP Milan | TG940 | 11h 55m | DETAILS,2026-01-30T15:34:40.480244
2026-04-17,BKK,departure,00:50,CPH Copenhagen,TG950,TG,11h 50m,00:50 | Thai Airways | CPH Copenhagen | TG950 | 11h 50m | DETAILS,2026-01-30T15:34:40.715975
2026-04-17,BKK,departure,00:50,MUC Munich,TG924,TG,11h 15m,00:50 | Thai Airways | MUC Munich | TG924 | 11h 15m | DETAILS,2026-01-30T15:34:41.135391
2026-04-17,BKK,departure,00:50,PUS Busan,7C2552,7C,5h 40m,00:50 | Jeju Air | PUS Busan | 7C2552 | 5h 40m | DETAILS,2026-01-30T15:34:41.221491
2026-04-17,BKK,departure,01:00,NBO Nairobi,KQ887,KQ,9h 5m,01:00 | Kenya Airways | NBO Nairobi | KQ887 | 9h 5m | DETAILS,2026-01-30T15:34:41.286129
2026-04-17,BKK,departure,01:05,ZRH Zurich,TG970,TG,11h 45m,01:05 | Thai Airways | ZRH Zurich | TG970 | 11h 45m | DETAILS,2026-01-30T15:34:41.352735
2026-04-17,BKK,departure,01:10,ICN Seoul,7C2504,7C,5h 45m,01:10 | Jeju Air | ICN Seoul | 7C2504 | 5h 45m | DETAILS,2026-01-30T15:34:41.428170
2026-04-17,BKK,departure,01:15,PVG Shanghai,9C8756,9C,4h 25m,01:15 | Spring Airlines | PVG Shanghai | 9C8756 | 4h 25m | DETAILS,2026-01-30T15:34:41.491901
2026-04-17,BKK,departure,01:15,TFU Chengdu,3U3938,3U,3h 5m,01:15 | Sichuan Airlines | TFU Chengdu | 3U3938 | 3h 5m | DETAILS,2026-01-30T15:34:41.555745
2026-04-17,BKK,departure,01:15,DXB Dubai,EK385,EK,6h 30m,01:15 | Emirates | DXB Dubai | EK385 | 6h 30m | DETAILS,2026-01-30T15:34:41.618407
2026-04-17,BKK,departure,01:15,KIX Osaka,MM92,MM,6h 5m,01:15 | Peach Aviation | KIX Osaka | MM92 | 6h 5m | DETAILS,2026-01-30T15:34:41.682947
2026-04-17,BKK,departure,01:20,ICN Seoul,OZ742,OZ,5h 25m,01:20 | Asiana | ICN Seoul | OZ742 | 5h 25m | DETAILS,2026-01-30T15:34:41.747603
2026-04-17,BKK,departure,01:30,PEK Beijing,CA980,CA,4h 40m,01:30 | Air China | PEK Beijing | CA980 | 4h 40m | DETAILS,2026-01-30T15:34:41.813186
2026-04-17,BKK,departure,01:30,HKG Hong Kong,HB296,HB,3h 0m,01:30 | Greater Bay Airlines | HKG Hong Kong | HB296 | 3h 0m | DETAILS,2026-01-30T15:34:41.894051
2026-04-17,BKK,departure,01:30,PVG Shanghai,HO1352,HO,4h 15m,01:30 | Juneyao Airlines | PVG Shanghai | HO1352 | 4h 15m | DETAILS,2026-01-30T15:34:41.966037
2026-04-17,BKK,departure,01:35,TPE Taipei,BR206,BR,3h 45m,01:35 | EVA Air | TPE Taipei | BR206 | 3h 45m | DETAILS,2026-01-30T15:34:42.029223
2026-04-17,BKK,departure,01:45,DOH Doha,QR837,QR,6h 55m,01:45 | Qatar Airways | DOH Doha | QR837 | 6h 55m | DETAILS,2026-01-30T15:34:42.090046
2026-04-17,BKK,departure,01:50,XMN Xiamen,MF844,MF,3h 25m,01:50 | XiamenAir | XMN Xiamen | MF844 | 3h 25m | DETAILS,2026-01-30T15:34:42.152442
2026-04-17,BKK,departure,01:50,ADD Addis Ababa,ET629,ET,8h 40m,01:50 | Ethiopian | ADD Addis Ababa | ET629 | 8h 40m | DETAILS,2026-01-30T15:34:42.221559
2026-04-17,BKK,departure,01:50,HKG Hong Kong,HX760,HX,3h 0m,01:50 | Hong Kong Airlines | HKG Hong Kong | HX760 | 3h 0m | DETAILS,2026-01-30T15:34:42.286368
2026-04-17,BKK,departure,01:55,HKG Hong Kong,HX780,HX,3h 0m,01:55 | Hong Kong Airlines | HKG Hong Kong | HX780 | 3h 0m | DETAILS,2026-01-30T15:34:42.349735
2026-04-17,BKK,departure,01:55,TPE Taipei,VZ566,VZ,3h 50m,01:55 | Vietjet Thailand | TPE Taipei | VZ566 | 3h 50m | DETAILS,2026-01-30T15:34:42.414838
2026-04-17,BKK,departure,02:05,TAE Daegu,TW106,TW,5h 35m,02:05 | T´Way Air | TAE Daegu | TW106 | 5h 35m | DETAILS,2026-01-30T15:34:42.479084
2026-04-17,BKK,departure,02:05,DOH Doha,QR827,QR,6h 55m,02:05 | Qatar Airways | DOH Doha | QR827 | 6h 55m | DETAILS,2026-01-30T15:34:42.540829
2026-04-17,BKK,departure,02:10,NKG Nanjing,MU2804,MU,4h 0m,02:10 | China Eastern | NKG Nanjing | MU2804 | 4h 0m | DETAILS,2026-01-30T15:34:42.601435
2026-04-17,BKK,departure,02:10,PVG Shanghai,MU548,MU,4h 25m,02:10 | China Eastern | PVG Shanghai | MU548 | 4h 25m | DETAILS,2026-01-30T15:34:42.665915
2026-04-17,BKK,departure,02:15,DXB Dubai,EK377,EK,6h 45m,02:15 | Emirates | DXB Dubai | EK377 | 6h 45m | DETAILS,2026-01-30T15:34:42.729325
2026-04-17,BKK,departure,02:20,VIE Vienna,BR61,BR,11h 15m,02:20 | EVA Air | VIE Vienna | BR61 | 11h 15m | DETAILS,2026-01-30T15:34:42.793645
2026-04-17,BKK,departure,02:20,KWI Kuwait,KU414,KU,7h 20m,02:20 | Kuwait Airways | KWI Kuwait | KU414 | 7h 20m | DETAILS,2026-01-30T15:34:42.859472
2026-04-17,BKK,departure,02:25,RGN Yangon,8M391,8M,1h 20m,02:25 | MAI | RGN Yangon | 8M391 | 1h 20m | DETAILS,2026-01-30T15:34:42.923613
