date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-03-13,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 13:53:24,airpaz.com
2026-03-14,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:53:52,airpaz.com
2026-03-14,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,1161,"฿1,161",2026-01-26 13:53:52,airpaz.com
2026-03-14,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,1179,"฿1,179",2026-01-26 13:53:52,airpaz.com
2026-03-15,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:54:21,airpaz.com
2026-03-15,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 13:54:21,airpaz.com
2026-03-15,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 13:54:21,airpaz.com
2026-03-16,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:54:50,airpaz.com
2026-03-16,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 13:54:50,airpaz.com
2026-03-17,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:55:51,airpaz.com
2026-03-17,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 13:55:51,airpaz.com
2026-03-18,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:56:19,airpaz.com
2026-03-18,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 13:56:19,airpaz.com
2026-03-18,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 13:56:19,airpaz.com
2026-03-18,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 13:56:19,airpaz.com
2026-03-19,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:56:49,airpaz.com
2026-03-19,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 13:56:49,airpaz.com
2026-03-19,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 13:56:49,airpaz.com
2026-03-20,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:57:18,airpaz.com
2026-03-20,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 13:57:18,airpaz.com
2026-03-20,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 13:57:18,airpaz.com
2026-03-20,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 13:57:18,airpaz.com
2026-03-21,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:57:46,airpaz.com
2026-03-21,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 13:57:46,airpaz.com
2026-03-21,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,1258,"฿1,258",2026-01-26 13:57:46,airpaz.com
2026-03-22,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:58:15,airpaz.com
2026-03-22,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 13:58:15,airpaz.com
2026-03-22,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 13:58:15,airpaz.com
