date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-03-14,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,913,฿913,2026-01-28T12:57:50.861563,airpaz.com
2026-03-14,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1220,"฿1,220",2026-01-28T12:57:50.889292,airpaz.com
2026-03-14,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1222,"฿1,222",2026-01-28T12:57:50.916919,airpaz.com
2026-03-15,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T12:58:19.292529,airpaz.com
2026-03-15,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T12:58:19.321811,airpaz.com
2026-03-16,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T12:58:47.511357,airpaz.com
2026-03-16,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T12:58:47.538633,airpaz.com
2026-03-17,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,913,฿913,2026-01-28T12:59:16.545697,airpaz.com
2026-03-17,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T12:59:16.580704,airpaz.com
2026-03-17,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T12:59:16.614333,airpaz.com
2026-03-18,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T12:59:45.099547,airpaz.com
2026-03-18,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T12:59:45.135350,airpaz.com
2026-03-19,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:00:14.193494,airpaz.com
2026-03-19,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:00:14.227158,airpaz.com
2026-03-19,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:00:14.257366,airpaz.com
2026-03-20,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:01:35.055271,airpaz.com
2026-03-20,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:01:35.086371,airpaz.com
2026-03-21,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:02:03.096657,airpaz.com
2026-03-21,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:02:03.130651,airpaz.com
2026-03-21,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:02:03.164306,airpaz.com
2026-03-22,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:02:31.244217,airpaz.com
2026-03-22,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1220,"฿1,220",2026-01-28T13:02:31.280157,airpaz.com
